Year,Month,Day,Tmax,Tmin,Precip,Snow,Snowcover
2022,1,1,25,5,0.43,7.1,9
2022,1,2,50,-4,0.0,0.0,6
2022,1,3,51,22,0.0,0.0,4
2022,1,4,49,30,0.0,0.0,3
2022,1,5,36,11,0.17,2.6,6
2022,1,6,20,0,0.33,5.1,8
2022,1,7,63,7,0.0,0.0,6
2022,1,8,58,39,0.0,0.0,4
2022,1,9,40,19,0.0,0.0,4
2022,1,10,54,19,0.0,0.0,4
2022,1,11,56,27,0.0,0.0,3
2022,1,12,57,28,0.0,0.0,3
2022,1,13,59,40,0.0,0.0,2
2022,1,14,53,31,0.03,0.3,2
2022,1,15,50,15,0.0,0.0,2
2022,1,16,60,35,0.0,0.0,1
2022,1,17,56,23,0.0,0.0,1
2022,1,18,50,35,0.0,0.0,1
2022,1,19,42,19,0.07,-999.0,1
2022,1,20,27,15,0.01,-999.0,1
2022,1,21,33,22,0.07,1.3,1
2022,1,22,44,17,0.01,0.1,1
2022,1,23,53,22,0.0,0.0,-999
2022,1,24,47,28,0.0,0.0,-999
2022,1,25,40,21,0.32,5.4,5
2022,1,26,38,6,0.0,0.0,4
2022,1,27,31,20,0.12,3.2,6
2022,1,28,51,9,0.0,0.0,4
2022,1,29,57,27,0.0,0.0,3
2022,1,30,54,22,0.0,0.0,1
2022,1,31,61,23,0.0,0.0,1
2022,2,1,51,22,0.05,0.6,1
2022,2,2,22,7,0.57,9.2,9
2022,2,3,24,-11,0.02,0.4,8
2022,2,4,40,4,0.0,0.0,7
2022,2,5,50,17,0.0,0.0,5
2022,2,6,39,20,0.0,0.0,5
2022,2,7,54,20,0.0,0.0,3
2022,2,8,54,35,0.0,0.0,2
2022,2,9,56,38,0.0,0.0,2
2022,2,10,61,26,0.0,0.0,1
2022,2,11,49,26,0.37,5.6,6
2022,2,12,39,7,0.32,4.5,7
2022,2,13,59,19,0.0,0.0,3
2022,2,14,55,25,0.0,0.0,2
2022,2,15,60,36,0.0,0.0,2
2022,2,16,51,21,0.13,1.7,3
2022,2,17,34,5,0.35,5.6,5
2022,2,18,45,19,0.0,0.0,3
2022,2,19,57,23,0.0,0.0,3
2022,2,20,62,34,0.0,0.0,1
2022,2,21,57,18,-999.0,-999.0,1
2022,2,22,18,-2,0.19,2.9,3
2022,2,23,11,-4,0.13,1.6,4
2022,2,24,25,1,0.04,0.7,3
2022,2,25,26,2,0.0,0.0,3
2022,2,26,36,6,0.0,0.0,3
2022,2,27,55,15,0.0,0.0,1
2022,2,28,66,32,0.0,0.0,-999
2022,3,1,70,41,0.0,0.0,-999
2022,3,2,66,38,0.0,0.0,-999
2022,3,3,69,39,0.0,0.0,-999
2022,3,4,68,31,0.0,0.0,-999
2022,3,5,56,27,0.05,0.1,-999
2022,3,6,29,18,0.14,5.3,3
2022,3,7,29,5,0.05,0.8,1
2022,3,8,41,11,0.0,0.0,-999
2022,3,9,34,10,0.15,4.1,4
2022,3,10,22,2,0.06,0.8,2
2022,3,11,33,2,0.0,0.0,1
2022,3,12,56,17,0.0,0.0,-999
2022,3,13,61,31,0.0,0.0,-999
2022,3,14,56,29,0.0,0.0,-999
2022,3,15,69,29,0.0,0.0,0
2022,3,16,63,42,0.01,0.0,0
2022,3,17,45,30,0.97,4.8,4
2022,3,18,52,19,0.01,0.3,-999
2022,3,19,60,28,0.0,0.0,0
2022,3,20,66,31,0.0,0.0,0
2022,3,21,57,29,0.04,0.5,0
2022,3,22,47,22,0.0,0.0,0
2022,3,23,58,22,0.0,0.0,0
2022,3,24,67,30,0.0,0.0,0
2022,3,25,62,39,0.0,0.0,0
2022,3,26,78,36,0.0,0.0,0
2022,3,27,73,32,0.0,0.0,0
2022,3,28,77,43,0.0,0.0,0
2022,3,29,70,43,0.19,0.0,0
2022,3,30,51,30,-999.0,0.0,0
2022,3,31,65,26,0.0,0.0,0
2022,4,1,60,39,0.0,0.0,0
2022,4,2,68,27,0.0,0.0,0
2022,4,3,66,40,0.0,0.0,0
2022,4,4,69,29,0.0,0.0,0
2022,4,5,64,44,-999.0,0.0,0
2022,4,6,49,28,0.0,0.0,0
2022,4,7,58,27,0.0,0.0,0
2022,4,8,69,24,0.0,0.0,0
2022,4,9,78,45,0.0,0.0,0
2022,4,10,70,34,0.12,0.0,0
2022,4,11,59,25,0.0,0.0,0
2022,4,12,58,38,0.0,0.0,0
2022,4,13,39,12,-999.0,-999.0,0
2022,4,14,57,20,0.0,0.0,0
2022,4,15,65,35,0.0,0.0,0
2022,4,16,55,28,0.0,0.0,0
2022,4,17,63,28,-999.0,0.0,0
2022,4,18,59,24,0.0,0.0,0
2022,4,19,82,32,0.0,0.0,0
2022,4,20,73,45,0.0,0.0,0
2022,4,21,78,37,0.0,0.0,0
2022,4,22,85,38,0.0,0.0,0
2022,4,23,67,30,-999.0,0.0,0
2022,4,24,52,31,0.0,0.0,0
2022,4,25,55,30,0.0,0.0,0
2022,4,26,74,30,0.0,0.0,0
2022,4,27,74,43,0.0,0.0,0
2022,4,28,75,40,0.0,0.0,0
2022,4,29,69,43,-999.0,0.0,0
2022,4,30,65,37,0.0,0.0,0
2022,5,1,64,32,0.0,0.0,0
2022,5,2,53,35,0.41,-999.0,0
2022,5,3,52,36,0.0,0.0,0
2022,5,4,52,37,0.96,0.0,0
2022,5,5,71,35,0.0,0.0,0
2022,5,6,81,46,0.0,0.0,0
2022,5,7,86,47,0.0,0.0,0
2022,5,8,80,40,0.0,0.0,0
2022,5,9,71,44,0.0,0.0,0
2022,5,10,71,40,0.0,0.0,0
2022,5,11,87,42,0.0,0.0,0
2022,5,12,80,48,0.0,0.0,0
2022,5,13,75,46,0.0,0.0,0
2022,5,14,80,49,0.0,0.0,0
2022,5,15,77,47,0.0,0.0,0
2022,5,16,87,43,0.0,0.0,0
2022,5,17,85,49,-999.0,0.0,0
2022,5,18,84,48,0.0,0.0,0
2022,5,19,86,45,0.0,0.0,0
2022,5,20,84,32,0.63,3.8,4
2022,5,21,45,32,0.58,4.5,1
2022,5,22,58,30,0.0,0.0,0
2022,5,23,61,37,0.01,0.0,0
2022,5,24,56,38,0.22,0.0,0
2022,5,25,71,34,0.01,0.0,0
2022,5,26,82,40,0.0,0.0,0
2022,5,27,87,50,0.0,0.0,0
2022,5,28,82,51,0.0,0.0,0
2022,5,29,79,51,0.15,0.0,0
2022,5,30,64,44,0.06,0.0,0
2022,5,31,63,38,0.16,0.0,0
2022,6,1,54,39,0.58,0.0,0
2022,6,2,69,39,0.0,0.0,0
2022,6,3,73,45,0.06,0.0,0
2022,6,4,83,44,0.0,0.0,0
2022,6,5,80,52,-999.0,0.0,0
2022,6,6,76,51,0.04,0.0,0
2022,6,7,79,50,0.0,0.0,0
2022,6,8,77,49,0.0,0.0,0
2022,6,9,88,50,0.0,0.0,0
2022,6,10,90,48,0.0,0.0,0
2022,6,11,99,58,0.0,0.0,0
2022,6,12,96,60,0.05,0.0,0
2022,6,13,95,65,0.0,0.0,0
2022,6,14,90,52,0.0,0.0,0
2022,6,15,87,45,0.0,0.0,0
2022,6,16,91,52,0.0,0.0,0
2022,6,17,91,58,-999.0,0.0,0
2022,6,18,90,61,-999.0,0.0,0
2022,6,19,87,63,-999.0,0.0,0
2022,6,20,87,57,0.0,0.0,0
2022,6,21,85,47,0.0,0.0,0
2022,6,22,82,49,0.0,0.0,0
2022,6,23,91,51,0.0,0.0,0
2022,6,24,89,60,0.11,0.0,0
2022,6,25,72,53,-999.0,0.0,0
2022,6,26,68,56,0.01,0.0,0
2022,6,27,85,48,0.0,0.0,0
2022,6,28,91,52,-999.0,0.0,0
2022,6,29,92,60,0.01,0.0,0
2022,6,30,82,63,0.08,0.0,0
2022,7,1,84,51,0.0,0.0,0
2022,7,2,89,54,-999.0,0.0,0
2022,7,3,88,57,0.02,0.0,0
2022,7,4,92,58,-999.0,0.0,0
2022,7,5,88,58,-999.0,0.0,0
2022,7,6,86,63,0.09,0.0,0
2022,7,7,90,53,0.11,0.0,0
2022,7,8,94,55,0.0,0.0,0
2022,7,9,99,58,0.03,0.0,0
2022,7,10,98,59,0.02,0.0,0
2022,7,11,81,60,0.1,0.0,0
2022,7,12,93,54,0.0,0.0,0
2022,7,13,96,56,-999.0,0.0,0
2022,7,14,96,67,0.02,0.0,0
2022,7,15,89,62,0.01,0.0,0
2022,7,16,91,62,0.17,0.0,0
2022,7,17,97,58,0.0,0.0,0
2022,7,18,99,65,0.0,0.0,0
2022,7,19,100,71,0.0,0.0,0
2022,7,20,94,61,0.13,0.0,0
2022,7,21,94,57,0.0,0.0,0
2022,7,22,97,65,0.0,0.0,0
2022,7,23,96,67,0.09,0.0,0
2022,7,24,78,57,0.49,0.0,0
2022,7,25,89,56,0.02,0.0,0
2022,7,26,88,57,0.0,0.0,0
2022,7,27,86,58,0.0,0.0,0
2022,7,28,82,60,1.11,0.0,0
2022,7,29,81,58,0.03,0.0,0
2022,7,30,91,51,0.0,0.0,0
2022,7,31,90,61,-999.0,0.0,0
2022,8,1,93,60,-999.0,0.0,0
2022,8,2,93,66,-999.0,0.0,0
2022,8,3,88,62,0.01,0.0,0
2022,8,4,95,58,-999.0,0.0,0
2022,8,5,93,63,-999.0,0.0,0
2022,8,6,89,64,0.12,0.0,0
2022,8,7,84,62,0.18,0.0,0
2022,8,8,87,55,0.14,0.0,0
2022,8,9,92,59,0.0,0.0,0
2022,8,10,93,60,0.0,0.0,0
2022,8,11,94,59,0.0,0.0,0
2022,8,12,91,61,0.0,0.0,0
2022,8,13,90,61,-999.0,0.0,0
2022,8,14,88,61,0.01,0.0,0
2022,8,15,80,62,0.22,0.0,0
2022,8,16,71,61,0.59,0.0,0
2022,8,17,83,53,0.0,0.0,0
2022,8,18,86,53,0.0,0.0,0
2022,8,19,84,56,0.0,0.0,0
2022,8,20,78,57,0.16,0.0,0
2022,8,21,78,53,-999.0,0.0,0
2022,8,22,84,53,0.0,0.0,0
2022,8,23,86,54,0.0,0.0,0
2022,8,24,85,53,0.0,0.0,0
2022,8,25,85,55,0.02,0.0,0
2022,8,26,81,57,-999.0,0.0,0
2022,8,27,91,56,0.0,0.0,0
2022,8,28,94,69,0.0,0.0,0
2022,8,29,86,53,0.0,0.0,0
2022,8,30,91,54,0.0,0.0,0
2022,8,31,90,57,0.01,0.0,0
2022,9,1,94,53,0.0,0.0,0
2022,9,2,93,60,0.0,0.0,0
2022,9,3,90,54,0.0,0.0,0
2022,9,4,95,54,0.0,0.0,0
2022,9,5,95,60,0.0,0.0,0
2022,9,6,96,59,0.0,0.0,0
2022,9,7,95,57,0.0,0.0,0
2022,9,8,97,61,-999.0,0.0,0
2022,9,9,82,50,0.07,0.0,0
2022,9,10,55,45,0.91,0.0,0
2022,9,11,75,39,0.0,0.0,0
2022,9,12,87,46,0.0,0.0,0
2022,9,13,82,50,0.0,0.0,0
2022,9,14,80,57,-999.0,0.0,0
2022,9,15,78,52,-999.0,0.0,0
2022,9,16,78,47,0.01,0.0,0
2022,9,17,80,51,0.0,0.0,0
2022,9,18,82,47,0.02,0.0,0
2022,9,19,90,50,0.0,0.0,0
2022,9,20,90,57,0.0,0.0,0
2022,9,21,79,52,0.17,0.0,0
2022,9,22,59,47,0.22,0.0,0
2022,9,23,81,47,0.01,0.0,0
2022,9,24,81,47,0.0,0.0,0
2022,9,25,73,43,0.0,0.0,0
2022,9,26,82,44,0.0,0.0,0
2022,9,27,80,48,-999.0,0.0,0
2022,9,28,82,45,0.0,0.0,0
2022,9,29,82,54,0.01,0.0,0
2022,9,30,79,50,0.07,0.0,0
2022,10,1,71,46,0.13,0.0,0
2022,10,2,74,46,-999.0,0.0,0
2022,10,3,74,46,0.09,0.0,0
2022,10,4,65,42,0.0,0.0,0
2022,10,5,70,42,0.0,0.0,0
2022,10,6,72,41,0.0,0.0,0
2022,10,7,57,38,0.04,0.0,0
2022,10,8,66,36,-999.0,0.0,0
2022,10,9,73,37,0.0,0.0,0
2022,10,10,78,40,0.0,0.0,0
2022,10,11,78,49,0.0,0.0,0
2022,10,12,71,36,0.0,0.0,0
2022,10,13,66,35,0.0,0.0,0
2022,10,14,78,42,0.0,0.0,0
2022,10,15,65,40,0.0,0.0,0
2022,10,16,59,43,0.0,0.0,0
2022,10,17,65,32,0.0,0.0,0
2022,10,18,69,32,0.0,0.0,0
2022,10,19,77,39,0.0,0.0,0
2022,10,20,82,39,0.0,0.0,0
2022,10,21,77,49,0.0,0.0,0
2022,10,22,77,48,0.0,0.0,0
2022,10,23,67,45,0.0,0.0,0
2022,10,24,53,30,0.02,-999.0,0
2022,10,25,61,38,0.0,0.0,0
2022,10,26,57,33,0.0,0.0,0
2022,10,27,51,33,0.24,0.1,0
2022,10,28,59,27,0.0,0.0,0
2022,10,29,61,30,0.0,0.0,0
2022,10,30,61,31,0.0,0.0,0
2022,10,31,70,32,0.0,0.0,0
2022,11,1,71,34,0.0,0.0,0
2022,11,2,69,45,0.0,0.0,0
2022,11,3,51,32,0.24,3.0,3
2022,11,4,44,24,0.27,3.7,3
2022,11,5,57,32,0.0,0.0,-999
2022,11,6,54,36,-999.0,0.0,0
2022,11,7,52,25,0.0,0.0,0
2022,11,8,68,33,0.0,0.0,0
2022,11,9,49,24,0.0,0.0,0
2022,11,10,51,29,0.0,0.0,0
2022,11,11,37,14,0.0,0.0,0
2022,11,12,45,15,0.0,0.0,0
2022,11,13,50,21,0.0,0.0,0
2022,11,14,39,16,0.0,0.0,0
2022,11,15,35,21,0.14,3.5,0
2022,11,16,40,17,0.0,0.0,-999
2022,11,17,32,20,0.12,3.3,3
2022,11,18,24,11,0.34,5.6,6
2022,11,19,41,5,0.0,0.0,4
2022,11,20,47,13,0.0,0.0,4
2022,11,21,50,21,0.0,0.0,2
2022,11,22,51,25,0.0,0.0,2
2022,11,23,50,27,0.0,0.0,2
2022,11,24,45,23,0.0,0.0,2
2022,11,25,59,24,0.0,0.0,1
2022,11,26,59,30,0.0,0.0,-999
2022,11,27,49,32,0.01,-999.0,-999
2022,11,28,55,36,0.0,0.0,-999
2022,11,29,44,15,0.3,5.5,4
2022,11,30,29,7,0.0,0.0,3
2022,12,1,56,14,0.0,0.0,1
2022,12,2,56,32,0.0,0.0,-999
2022,12,3,54,13,0.0,0.0,-999
2022,12,4,55,28,0.0,0.0,-999
2022,12,5,57,30,0.0,0.0,0
2022,12,6,51,26,0.0,0.0,0
2022,12,7,50,24,0.0,0.0,0
2022,12,8,44,20,0.0,0.0,0
2022,12,9,52,12,0.0,0.0,0
2022,12,10,53,20,0.0,0.0,0
2022,12,11,61,26,0.0,0.0,0
2022,12,12,54,31,0.0,0.0,0
2022,12,13,41,22,-999.0,-999.0,0
2022,12,14,40,18,0.0,0.0,0
2022,12,15,33,17,0.0,0.0,0
2022,12,16,32,10,0.0,0.0,0
2022,12,17,38,13,0.0,0.0,0
2022,12,18,41,13,0.0,0.0,0
2022,12,19,45,10,0.0,0.0,0
2022,12,20,50,19,0.0,0.0,0
2022,12,21,47,6,-999.0,-999.0,0
2022,12,22,7,-18,0.55,6.2,6
2022,12,23,12,-14,0.0,0.0,5
2022,12,24,51,-2,0.0,0.0,4
2022,12,25,53,17,0.0,0.0,2
2022,12,26,49,28,0.0,0.0,2
2022,12,27,62,32,0.0,0.0,-999
2022,12,28,57,41,-999.0,0.0,0
2022,12,29,41,21,1.26,9.3,9
2022,12,30,37,19,0.0,0.0,8
2022,12,31,53,23,0.0,0.0,6
