SampleID,Date,DOY,Site,Depth (cm),DOC (mg/L),GG-SQ1,GG-SQ2,GG-OQ,GG-PS,GG-SH,GG-OH,GG-P1,GG-P2,Percent Protein,Ftot,(GG-P1:GG-P1+GG-P2),GG-SQ1_DOC,GG-SQ2_DOC,GG-OQ_DOC,GG-PS_DOC,GG-SH_DOC,GG-OH_DOC,GG-P1_DOC,GG-P2_DOC,Percent Protein_DOC,Ftot_DOC,(GG-P1:GG-P1+GG-P2)_DOC,Percent_GG-SQ1,Percent_GG-SQ2,Percent_GG-OQ,Percent_GG-SH,Percent_GG-OH,Percent_GG-P1,Percent_GG-P2,FI,max emission at 370nm,a254cm,HIX,BIX,LAT,LONG,,,,
13MB189,3/21/2013,80,GW1,9.41 - 18.55m,0.28,0.05,0.07,0.02,0.38,0.08,0.02,0.63,0.02,73.78,0.87,0.97,0.17,0.25,0.05,1.36,0.28,0.06,2.25,0.06,73.78,3.12,0.97,5.4,8.08,1.73,9.09,1.92,71.88,1.9,1.68,444,0,0.64,1.05,,,,,,
13MB190,4/10/2013,100,GW1,9.41 - 18.55m,0.14,0.02,0.07,0,0.5,0.06,0.01,0.24,0.01,61.57,0.41,0.95,0.14,0.53,0,3.55,0.39,0.06,1.71,0.1,61.57,2.93,0.95,4.85,17.97,0,13.44,2.17,58.23,3.34,1.56,446,0,1.33,1.05,,,,,,
13MB193,5/10/2013,130,GW1,9.41 - 18.55m,0.18,0.11,0.13,0.21,0.55,0.2,0.04,0.54,0.03,45.76,1.25,0.94,0.59,0.71,1.15,3.08,1.09,0.24,3,0.19,45.76,6.97,0.94,8.52,10.17,16.44,15.62,3.49,43.06,2.7,1.67,430,0,1.16,0.97,,,,,,
13MB195,5/17/2013,137,GW1,9.41 - 18.55m,0.25,0.02,0.05,0.04,0.26,0.04,0,0.51,0,77.14,0.65,1,0.09,0.18,0.14,1.04,0.18,0.01,2.02,0,77.14,2.62,1,3.28,7.05,5.44,6.84,0.24,77.14,0,1.66,430,0.01,0.49,1.06,,,,,,
13MB197,7/18/2013,199,GW1,9.41 - 18.55m,0.22,0.07,0.09,0.16,0.55,0.15,0.02,0.52,0.02,52.58,1.03,0.96,0.31,0.41,0.72,2.5,0.68,0.11,2.36,0.11,52.58,4.7,0.96,6.6,8.64,15.4,14.49,2.29,50.28,2.3,1.52,428,0.04,0.97,0.98,,,,,,
13MB191,5/10/2013,130,GW6,8.20-17.34m,0.23,0.09,0.09,0.2,0.45,0.15,0.09,0.53,0.01,46.58,1.16,0.98,0.38,0.41,0.86,1.97,0.63,0.4,2.3,0.04,46.58,5.03,0.98,7.65,8.17,17.06,12.59,7.95,45.71,0.87,1.59,450,0,1.18,0.91,,,,,,
13MB199,7/18/2013,199,GW6,8.20-17.34m,0.22,0.08,0.08,0.15,0.33,0.06,0.07,0.48,0,51.85,0.93,1,0.38,0.36,0.68,1.48,0.28,0.34,2.19,0,51.85,4.23,1,9.01,8.55,16.01,6.54,8.04,51.85,0,1.45,456,0,1.12,0.79,,,,,,
13MB165,3/27/2013,86,M1-Snow,NA,0.58,0.06,0.1,0,0.74,0.04,0.1,0.54,0.19,70.36,1.04,0.74,0.11,0.17,0,1.28,0.07,0.17,0.93,0.33,70.36,1.78,0.74,6.14,9.68,0,4.02,9.8,51.84,18.52,1.42,456,0.03,0.73,0.76,40.0146,-105.4684,,,,
13MB106,4/12/2013,102,M1-Snow,NA,0.81,0.08,0.13,0.31,0.75,0.01,0.18,0.45,0.13,44.93,1.28,0.78,0.09,0.16,0.38,0.93,0.01,0.23,0.55,0.16,44.93,1.59,0.78,5.96,9.85,24.11,0.87,14.29,34.83,10.1,1.2,458,0.02,1.05,0.6,40.0146,-105.4684,,,,
13MB150,4/24/2013,114,M1-Snow,NA,0.55,0.1,0.1,0.29,0.5,0.08,0.1,0.44,0.2,49.1,1.32,0.68,0.18,0.18,0.53,0.91,0.14,0.19,0.8,0.37,49.1,2.38,0.68,7.45,7.43,22.29,5.87,7.86,33.53,15.57,1.24,462,0.01,0.9,0.84,40.0146,-105.4684,,,,
13MB178,3/29/2013,88,M2,10,11.36,0.35,0.23,0.47,0.22,0.1,0.16,0.14,0.06,13.05,1.49,0.71,0.03,0.02,0.04,0.02,0.01,0.01,0.01,0,13.05,0.13,0.71,23.29,15.44,31.3,6.38,10.54,9.26,3.79,1.34,464,0.16,6.09,0.47,40.0141,-105.4685,,,,
13MB124,4/4/2013,94,M2,10,29.91,0.4,0.22,0.56,0.09,0.08,0.15,0.02,0.02,2.6,1.45,0.58,0.01,0.01,0.02,0,0,0.01,0,0,2.6,0.05,0.58,27.84,14.95,38.69,5.36,10.55,1.51,1.09,1.28,474,0.12,21.29,0.46,40.0141,-105.4685,,,,
13MB115,4/6/2013,96,M2,10,4.44,0.33,0.2,0.54,0.19,0.08,0.16,0.11,0.09,13.26,1.5,0.54,0.08,0.04,0.12,0.04,0.02,0.04,0.02,0.02,13.26,0.34,0.54,22.27,13.21,35.64,5.12,10.52,7.21,6.05,1.3,474,0.12,5.76,0.54,40.0141,-105.4685,,,,
13MB105,4/12/2013,102,M2,20,35.48,0.39,0.22,0.58,0.07,0.08,0.16,0.03,0,1.8,1.44,1,0.01,0.01,0.02,0,0,0,0,0,1.8,0.04,1,26.74,15.42,39.92,5.3,10.82,1.8,0,1.33,466,0.14,21.86,0.45,40.0141,-105.4685,,,,
13MB135,4/20/2013,110,M2,10,33.66,0.4,0.22,0.55,0.09,0.07,0.16,0.04,0.01,3.63,1.46,0.79,0.01,0.01,0.02,0,0,0,0,0,3.63,0.04,0.79,27.4,14.9,37.85,5.1,11.12,2.87,0.77,1.27,474,0.14,16.45,0.46,40.0141,-105.4685,,,,
13MB141,4/22/2013,112,M2,10,28.6,0.41,0.22,0.55,0.08,0.08,0.16,0.04,0.02,3.6,1.47,0.69,0.01,0.01,0.02,0,0,0.01,0,0,3.6,0.05,0.69,27.73,15.13,37.55,5.25,10.74,2.49,1.11,1.28,472,0.13,17.87,0.45,40.0141,-105.4685,,,,
13MB142,4/22/2013,112,M2,20,23.69,0.39,0.23,0.55,0.09,0.07,0.16,0.05,0.01,4.07,1.46,0.88,0.02,0.01,0.02,0,0,0.01,0,0,4.07,0.06,0.88,26.62,15.59,37.61,4.8,11.32,3.58,0.49,1.33,470,0.11,15.72,0.44,40.0141,-105.4685,,,,
13MB087,4/24/2013,114,M2,10,13,0.4,0.22,0.56,0.11,0.08,0.17,0.06,0.04,6.37,1.53,0.62,0.03,0.02,0.04,0.01,0.01,0.01,0,0,6.37,0.12,0.62,26.07,14.57,36.62,4.94,11.42,3.97,2.39,1.28,468,0.14,11.2,0.48,40.0141,-105.4685,,,,
13MB081,4/24/2013,114,M2,20,36.63,0.43,0.25,0.54,0.1,0.09,0.16,0.11,0.02,8.18,1.59,0.83,0.01,0.01,0.01,0,0,0,0,0,8.18,0.04,0.83,26.79,15.69,33.81,5.4,10.13,6.79,1.38,1.3,470,0.16,11.51,0.46,40.0141,-105.4685,,,,
13MB072,5/4/2013,124,M2,10,37.87,0.42,0.22,0.53,0.11,0.07,0.19,0.03,0.01,2.5,1.47,0.82,0.01,0.01,0.01,0,0,0,0,0,2.5,0.04,0.82,28.91,15.18,36.05,4.5,12.85,2.06,0.44,1.26,468,0.18,17.37,0.45,40.0141,-105.4685,,,,
13MB034,5/7/2013,127,M2,20,37.67,0.43,0.23,0.54,0.1,0.07,0.18,0.05,0,3.42,1.5,0.99,0.01,0.01,0.01,0,0,0,0,0,3.42,0.04,0.99,28.58,15.69,35.76,4.46,12.09,3.39,0.03,1.28,476,0.17,17.11,0.43,40.0141,-105.4685,,,,
13MB054,5/9/2013,129,M2,20,17.96,0.26,0.12,0.65,0.13,0,0.19,0.06,0.02,6.25,1.3,0.72,0.01,0.01,0.04,0.01,0,0.01,0,0,6.25,0.07,0.72,19.97,8.85,49.99,0,14.94,4.5,1.75,1.29,472,0.81,11.43,0.46,40.0141,-105.4685,,,,
13MB064,5/10/2013,130,M2,10,32.11,0.43,0.23,0.54,0.11,0.07,0.18,0.05,0.01,3.91,1.51,0.91,0.01,0.01,0.02,0,0,0.01,0,0,3.91,0.05,0.91,28.67,15.3,35.58,4.53,12,3.55,0.36,1.26,470,0.17,15.75,0.44,40.0141,-105.4685,,,,
13MB066,5/10/2013,130,M2,20,45.61,0.41,0.22,0.5,0.13,0.05,0.2,0.04,0,2.94,1.43,1,0.01,0,0.01,0,0,0,0,0,2.94,0.03,1,29.04,15.58,34.96,3.83,13.65,2.94,0,1.27,472,0.11,14.91,0.43,40.0141,-105.4685,,,,
13MB157,5/12/2013,132,M2,20,37.94,0.41,0.22,0.57,0.08,0.06,0.18,0.03,0,2.06,1.46,1,0.01,0.01,0.01,0,0,0,0,0,2.06,0.04,1,28.11,14.98,38.87,3.88,12.1,2.06,0,1.27,472,0.19,22.53,0.42,40.0141,-105.4685,,,,
13MB166,3/27/2013,86,M2-Snow,NA,1.41,0.29,0.18,0.45,0.32,0.04,0.17,0.24,0.1,23.66,1.47,0.7,0.2,0.13,0.32,0.23,0.03,0.12,0.17,0.07,23.66,1.04,0.7,19.53,12.27,30.43,2.66,11.44,16.6,7.06,1.27,476,0.06,2.47,0.5,40.0141,-105.4685,,,,
13MB107,4/12/2013,102,M2-Snow,NA,1.42,0.21,0.19,0.39,0.48,0.06,0.19,0.5,0.13,38.15,1.66,0.79,0.15,0.13,0.27,0.34,0.04,0.13,0.35,0.09,38.15,1.17,0.79,12.58,11.22,23.31,3.57,11.17,30.29,7.86,1.29,474,0.03,1.61,0.56,40.0141,-105.4685,,,,
13MB133,4/20/2013,110,M2-Snow,NA,1.19,0.13,0.11,0.18,0.63,0.06,0.11,0.36,0.15,45.95,1.1,0.71,0.11,0.09,0.15,0.53,0.05,0.09,0.3,0.12,45.95,0.93,0.71,12.2,10,16.49,5.25,10.11,32.61,13.34,1.27,466,0.05,1.47,0.68,40.0141,-105.4685,,,,
13MB151,4/24/2013,114,M2-Snow,NA,0.33,0.01,0.07,0.05,0.66,0.03,0.08,0.52,0.32,77.91,1.08,0.62,0.02,0.22,0.15,1.99,0.08,0.24,1.55,0.97,77.91,3.23,0.62,0.69,6.66,4.66,2.59,7.49,48,29.91,1.38,466,0.01,0.54,1.1,40.0141,-105.4685,,,,
13MB111,4/12/2013,102,M3,25,20.96,0.44,0.23,0.49,0.12,0.08,0.15,0.06,0,4.15,1.45,1,0.02,0.01,0.02,0.01,0,0.01,0,0,4.15,0.07,1,30.36,15.97,33.56,5.57,10.4,4.15,0,1.3,474,0.17,12.44,0.43,40.0127,-105.4688,,,,
13MB143,4/22/2013,112,M3,25,19.76,0.45,0.24,0.49,0.11,0.09,0.11,0.05,0.04,5.78,1.47,0.55,0.02,0.01,0.02,0.01,0,0.01,0,0,5.78,0.07,0.55,30.69,16.56,33.18,6.23,7.56,3.15,2.63,1.3,472,0.16,9.46,0.42,40.0127,-105.4688,,,,
13MB085,4/24/2013,114,M3,25,24.27,0.5,0.27,0.48,0.1,0.11,0.12,0.04,0,2.64,1.52,0.94,0.02,0.01,0.02,0,0,0.01,0,0,2.64,0.06,0.94,32.69,17.74,31.75,7.09,8.1,2.47,0.17,1.3,472,0.14,17.64,0.43,40.0127,-105.4688,,,,
13MB013,4/29/2013,119,M3,25,27.93,0.52,0.28,0.52,0.05,0.1,0.13,0.05,0,2.96,1.59,1,0.02,0.01,0.02,0,0,0,0,0,2.96,0.06,1,32.43,17.78,32.56,6.21,8.06,2.96,0,1.31,472,0.15,27.17,0.4,40.0127,-105.4688,,,,
13MB074,5/5/2013,125,M3,25,21.91,0.47,0.26,0.48,0.11,0.1,0.13,0.05,0,3.36,1.49,1,0.02,0.01,0.02,0,0,0.01,0,0,3.36,0.07,1,31.25,17.45,32.24,6.74,8.96,3.36,0,1.3,474,0.14,14.83,0.42,40.0127,-105.4688,,,,
13MB029,5/7/2013,127,M3,25,28.84,0.51,0.28,0.48,0.09,0.11,0.13,0.05,0,3.17,1.56,1,0.02,0.01,0.02,0,0,0,0,0,3.17,0.05,1,32.72,17.95,30.83,6.83,8.5,3.17,0,1.31,468,0.15,17.08,0.42,40.0127,-105.4688,,,,
13MB065,5/8/2013,128,M3,25,28.18,0.5,0.27,0.47,0.12,0.1,0.12,0.05,0,3.16,1.51,0.95,0.02,0.01,0.02,0,0,0,0,0,3.16,0.05,0.95,33.01,17.94,31.19,6.49,8.21,3,0.15,1.31,474,0.13,15,0.41,40.0127,-105.4688,,,,
13MB047,5/9/2013,129,M3,25,36.26,0.43,0.26,0.5,0.11,0.09,0.16,0.06,0,4.13,1.51,0.92,0.01,0.01,0.01,0,0,0,0,0,4.13,0.04,0.92,28.53,17.19,33.4,6.14,10.61,3.8,0.33,1.36,470,0.17,13.79,0.43,40.0127,-105.4688,,,,
13MB158,5/12/2013,132,M3,25,32.51,0.45,0.24,0.49,0.11,0.08,0.14,0.05,0,3.83,1.46,0.92,0.01,0.01,0.01,0,0,0,0,0,3.83,0.04,0.92,30.84,16.57,33.28,5.61,9.87,3.52,0.31,1.3,472,0.13,13.11,0.42,40.0127,-105.4688,,,,
13MB171,5/16/2013,136,M3,25,21.7,0.47,0.24,0.51,0.09,0.07,0.13,0.05,0,3.78,1.47,0.95,0.02,0.01,0.02,0,0,0.01,0,0,3.78,0.07,0.95,31.84,16.13,34.32,4.88,9.05,3.61,0.17,1.29,472,0.15,15.17,0.4,40.0127,-105.4688,,,,
13MB177,5/19/2013,139,M3,25,26.19,0.44,0.23,0.51,0.09,0.07,0.14,0.06,0,4.03,1.44,1,0.02,0.01,0.02,0,0,0.01,0,0,4.03,0.06,1,30.8,15.66,35.34,4.55,9.61,4.03,0,1.27,476,0.17,14.51,0.4,40.0127,-105.4688,,,,
13MB167,3/27/2013,86,M3_snow,NA,0.55,0.1,0.19,0.03,0.74,0,0.19,0.59,0.26,62.53,1.35,0.7,0.18,0.35,0.06,1.33,0,0.33,1.06,0.46,62.53,2.44,0.7,7.24,14.16,2.35,0,13.72,43.66,18.87,1.55,454,0.02,0.81,0.55,40.0127,-105.4688,,,,
13MB108,4/12/2013,102,M3_snow,NA,0.55,0.1,0.12,0.49,0.45,0,0.15,0.31,0.02,27.98,1.19,0.94,0.18,0.23,0.9,0.82,0,0.27,0.57,0.04,27.98,2.18,0.94,8.11,10.35,41.11,0,12.45,26.31,1.68,1.36,466,0.02,1.37,0.47,40.0127,-105.4688,,,,
13MB132,4/20/2013,110,M3_snow,NA,1.44,0.07,0.04,0.13,0.64,0.01,0.47,0.39,0.04,36.86,1.14,0.92,0.05,0.03,0.09,0.45,0.01,0.33,0.27,0.02,36.86,0.8,0.92,6.56,3.32,11.68,0.63,40.95,33.77,3.08,1.25,468,0.04,1.52,0.65,40.0127,-105.4688,,,,
13MB083,4/24/2013,114,M3_snow,NA,1.14,0.23,0.17,0.46,0.36,0.16,0.23,0.24,0.21,26.64,1.71,0.53,0.2,0.15,0.4,0.31,0.14,0.21,0.21,0.19,26.64,1.5,0.53,13.51,10.02,26.69,9.42,13.73,14.21,12.43,1.37,460,0.03,2.45,0.78,40.0127,-105.4688,,,,
13MB007,4/29/2013,119,M3W,107,32.81,0.13,0.1,0.02,0.97,0.08,0.02,0.2,0.05,42.19,0.59,0.8,0,0,0,0.03,0,0,0.01,0,42.19,0.02,0.8,21.6,16.72,3.4,12.95,3.15,33.63,8.56,1.22,382,0.18,1.08,0.79,40.0127,-105.4688,,,,
13MB019,4/30/2013,120,M3W,107,8.8,0.18,0.13,0.1,0.92,0.09,0.04,0.19,0.02,28.76,0.75,0.89,0.02,0.02,0.01,0.1,0.01,0,0.02,0,28.76,0.09,0.89,24.16,17.88,12.63,11.87,4.71,25.61,3.14,1.29,382,0.2,1.43,0.69,40.0127,-105.4688,,,,
13MB026,5/3/2013,123,M3W,107,9.34,0.22,0.15,0.24,0.69,0.09,0.06,0.14,0.03,18.23,0.93,0.82,0.02,0.02,0.03,0.07,0.01,0.01,0.02,0,18.23,0.1,0.82,23.4,16.13,26.24,9.67,6.32,15.04,3.19,1.37,464,0.35,2.23,0.64,40.0127,-105.4688,,,,
13MB067,5/4/2013,124,M3W,107,6.96,0.2,0.13,0.13,0.71,0.07,0.18,0.14,0,16.41,0.86,1,0.03,0.02,0.02,0.1,0.01,0.03,0.02,0,16.41,0.12,1,23.37,14.66,15.46,8.75,21.35,16.41,0,1.35,466,0.14,2.11,0.62,40.0127,-105.4688,,,,
13MB068,5/5/2013,125,M3W,107,8.29,0.25,0.18,0.15,0.78,0.12,0.05,0.16,0.02,19.61,0.92,0.87,0.03,0.02,0.02,0.09,0.01,0.01,0.02,0,19.61,0.11,0.87,26.93,19.04,16.33,13.15,4.94,16.99,2.62,1.35,466,0.16,1.94,0.66,40.0127,-105.4688,,,,
13MB042,5/6/2013,126,M3W,107,7.94,0.29,0.2,0.25,0.6,0.15,0.04,0.12,0.03,13.66,1.08,0.81,0.04,0.03,0.03,0.08,0.02,0.01,0.01,0,13.66,0.14,0.81,26.97,18.61,23.18,13.63,3.94,11.07,2.59,1.4,464,0.15,2.71,0.63,40.0127,-105.4688,,,,
13MB032,5/7/2013,127,M3W,107,8.38,0.28,0.19,0.26,0.59,0.14,0.05,0.13,0.03,14.76,1.08,0.82,0.03,0.02,0.03,0.07,0.02,0.01,0.02,0,14.76,0.13,0.82,25.94,17.97,24.17,12.79,4.37,12.06,2.7,1.39,466,0.16,2.65,0.63,40.0127,-105.4688,,,,
13MB062,5/8/2013,128,M3W,107,7.72,0.29,0.19,0.26,0.58,0.13,0.06,0.12,0.02,13.41,1.07,0.83,0.04,0.02,0.03,0.08,0.02,0.01,0.02,0,13.41,0.14,0.83,26.74,17.81,24.32,11.78,5.93,11.17,2.24,1.37,466,0.16,2.79,0.62,40.0127,-105.4688,,,,
13MB052,5/9/2013,129,M3W,107,9.99,0.29,0.19,0.29,0.52,0.12,0.07,0.16,0.04,16.64,1.14,0.82,0.03,0.02,0.03,0.05,0.01,0.01,0.02,0,16.64,0.11,0.82,24.96,16.82,25.25,10.43,5.9,13.58,3.06,1.38,466,0.15,2.82,0.6,40.0127,-105.4688,,,,
13MB061,5/10/2013,130,M3W,107,12.77,0.32,0.21,0.31,0.49,0.13,0.08,0.11,0.04,12.54,1.2,0.75,0.02,0.02,0.02,0.04,0.01,0.01,0.01,0,12.54,0.09,0.75,26.63,17.65,26.17,10.6,6.43,9.36,3.18,1.36,464,0.16,3.33,0.57,40.0127,-105.4688,,,,
13MB156,5/12/2013,132,M3W,107,9.9,0.33,0.2,0.34,0.45,0.11,0.11,0.13,0.04,12.87,1.25,0.78,0.03,0.02,0.03,0.05,0.01,0.01,0.01,0,12.87,0.13,0.78,25.96,16.22,27,9.08,8.87,9.99,2.88,1.35,464,0.15,3.43,0.57,40.0127,-105.4688,,,,
13MB170,5/16/2013,136,M3W,107,9.47,0.34,0.21,0.36,0.4,0.12,0.1,0.1,0.03,10.59,1.27,0.77,0.04,0.02,0.04,0.04,0.01,0.01,0.01,0,10.59,0.13,0.77,26.51,16.73,28.57,9.52,8.08,8.12,2.47,1.37,468,0.14,4.02,0.57,40.0127,-105.4688,,,,
