SampleID,Date,DOY,Site,Depth (cm),DOC (mg/L),GG-SQ1,GG-SQ2,GG-OQ,GG-PS,GG-SH,GG-OH,GG-P1,GG-P2,Percent Protein,Ftot,(GG-P1:GG-P1+GG-P2),GG-SQ1_DOC,GG-SQ2_DOC,GG-OQ_DOC,GG-PS_DOC,GG-SH_DOC,GG-OH_DOC,GG-P1_DOC,GG-P2_DOC,Percent Protein_DOC,Ftot_DOC,(GG-P1:GG-P1+GG-P2)_DOC,Percent_GG-SQ1,Percent_GG-SQ2,Percent_GG-OQ,Percent_GG-SH,Percent_GG-OH,Percent_GG-P1,Percent_GG-P2,FI,max emission at 370nm,a254cm,HIX,BIX,LAT,LONG,,,,
13MB153,5/10/2013,130,M5,25,31.45,0.37,0.23,0.5,0.14,0.08,0.19,0.08,0.01,6.35,1.47,0.87,0.01,0.01,0.02,0,0,0.01,0,0,6.35,0.05,0.87,25.34,15.89,34.07,5.54,12.82,5.53,0.82,1.37,472,0.17,9.33,0.46,40.0121,-105.4696,,,,
13MB160,5/12/2013,132,M5,10,31.86,0.38,0.23,0.52,0.13,0.07,0.17,0.09,0.01,7.06,1.47,0.89,0.01,0.01,0.02,0,0,0.01,0,0,7.06,0.05,0.89,25.67,15.62,35.09,4.83,11.74,6.29,0.76,1.33,472,0.13,10.3,0.44,40.0121,-105.4696,,,,
13MB161,5/12/2013,132,M5,25,26.95,0.38,0.24,0.52,0.13,0.09,0.15,0.07,0.02,5.98,1.46,0.8,0.01,0.01,0.02,0,0,0.01,0,0,5.98,0.05,0.8,26.09,16.54,35.44,6,9.97,4.79,1.19,1.38,470,0.14,9.94,0.44,40.0121,-105.4696,,,,
13MB169,3/27/2013,86,M5-snow,NA,1.1,0.07,0.19,0,0.42,0.23,0,0.52,0.33,63.9,1.33,0.61,0.06,0.17,0,0.38,0.21,0,0.48,0.3,63.9,1.21,0.61,5.01,14.08,0,17.01,0,39.29,24.61,2.01,430,0.02,0.69,1.06,40.0121,-105.4696,,,,
13MB134,4/20/2013,110,M5-snow,NA,1.69,0.17,0.15,0.34,0.57,0.04,0.16,0.36,0.12,35.46,1.35,0.75,0.1,0.09,0.2,0.34,0.02,0.1,0.21,0.07,35.46,0.8,0.75,12.79,11.44,25.28,3.08,11.95,26.48,8.99,1.29,466,0.05,1.67,0.59,40.0121,-105.4696,,,,
13MB089,4/24/2013,114,M5-snow,NA,1.78,0.23,0.2,0.36,0.45,0.13,0.19,0.4,0.21,35.53,1.73,0.66,0.13,0.11,0.2,0.25,0.08,0.11,0.23,0.12,35.53,0.97,0.66,13.55,11.36,20.79,7.79,10.99,23.32,12.21,1.3,458,0.03,2.1,0.69,40.0121,-105.4696,,,,
13MB010,4/29/2013,119,M5W,88,72.01,0.33,0.22,0.41,0.31,0.1,0.13,0.09,0,6.75,1.27,1,0,0,0.01,0,0,0,0,0,6.75,0.02,1,26.14,17.39,31.99,7.7,10.03,6.75,0,1.37,466,0.17,5.83,0.48,40.0121,-105.4696,,,,
13MB018,4/30/2013,120,M5W,88,76.65,0.35,0.23,0.41,0.31,0.1,0.13,0.08,0.02,7.5,1.31,0.84,0,0,0.01,0,0,0,0,0,7.5,0.02,0.84,26.32,17.2,31.22,7.87,9.9,6.3,1.19,1.37,466,0.17,5.58,0.49,40.0121,-105.4696,,,,
13MB077,5/4/2013,124,M5W,88,60.35,0.36,0.23,0.45,0.24,0.1,0.14,0.07,0.01,6.59,1.36,0.84,0.01,0,0.01,0,0,0,0,0,6.59,0.02,0.84,26.1,17.04,32.93,7.07,10.27,5.51,1.08,1.4,468,0.13,6.9,0.47,40.0121,-105.4696,,,,
13MB164,5/6/2013,126,M5W,88,56.78,0.32,0.21,0.46,0.25,0.09,0.16,0.08,0.04,8.56,1.35,0.7,0.01,0,0.01,0,0,0,0,0,8.56,0.02,0.7,23.64,15.75,33.97,6.56,11.53,5.96,2.6,1.4,466,0.12,5.41,0.51,40.0121,-105.4696,,,,
13MB033,5/7/2013,127,M5W,88,53.29,0.3,0.2,0.37,0.38,0.09,0.12,0.09,0.01,8.11,1.17,0.89,0.01,0,0.01,0.01,0,0,0,0,8.11,0.02,0.89,25.77,16.8,31.64,7.6,10.09,7.25,0.85,1.37,470,0.21,4.69,0.49,40.0121,-105.4696,,,,
13MB046,5/9/2013,129,M5W,88,46.6,0.35,0.22,0.44,0.24,0.08,0.15,0.08,0,6,1.33,0.96,0.01,0,0.01,0.01,0,0,0,0,6,0.03,0.96,26.53,16.81,33.11,6.23,11.32,5.78,0.23,1.35,468,0.12,6.94,0.46,40.0121,-105.4696,,,,
13MB060,5/10/2013,130,M5W,88,65.52,0.3,0.2,0.4,0.34,0.09,0.12,0.09,0.01,8.22,1.22,0.92,0,0,0.01,0.01,0,0,0,0,8.22,0.02,0.92,24.94,16.57,32.85,7.29,10.12,7.52,0.69,1.36,468,0.14,4.96,0.49,40.0121,-105.4696,,,,
13MB002,3/31/2013,90,Stream,NA,4.13,0.24,0.16,0.14,0.81,0.11,0.03,0.16,0.03,21.77,0.87,0.83,0.06,0.04,0.03,0.2,0.03,0.01,0.04,0.01,21.77,0.21,0.83,27.46,18.48,15.53,13.21,3.56,18.12,3.65,1.32,472,0.16,1.8,0.68,40.0128,-105.47,,,,
13MB003,3/31/2013,90,Stream,NA,4.16,0.25,0.17,0.14,0.82,0.11,0.03,0.17,0.04,22.41,0.91,0.82,0.06,0.04,0.03,0.2,0.03,0.01,0.04,0.01,22.41,0.22,0.82,27.42,18.94,15.48,12.45,3.31,18.35,4.05,1.32,464,0.18,1.81,0.66,40.0128,-105.47,,,,
13MB130,4/4/2013,94,Stream,NA,4.02,0.29,0.18,0.22,0.67,0.11,0.05,0.17,0.06,20.9,1.08,0.76,0.07,0.05,0.06,0.17,0.03,0.01,0.04,0.01,20.9,0.27,0.76,26.65,16.98,20.55,10.31,4.61,15.81,5.09,1.32,466,0.16,2.08,0.62,40.0128,-105.47,,,,
13MB131,4/4/2013,94,Stream,NA,4.01,0.28,0.18,0.2,0.71,0.11,0.05,0.18,0.1,25.56,1.1,0.63,0.07,0.04,0.05,0.18,0.03,0.01,0.04,0.03,25.56,0.27,0.63,25.31,16.26,17.94,10.32,4.61,16.2,9.36,1.31,468,0.16,1.94,0.67,40.0128,-105.47,,,,
13MB118,4/6/2013,96,Stream,NA,4.45,0.29,0.18,0.24,0.62,0.11,0.05,0.17,0.05,19.76,1.08,0.78,0.06,0.04,0.05,0.14,0.02,0.01,0.04,0.01,19.76,0.24,0.78,26.5,16.71,22.38,10.02,4.63,15.35,4.41,1.31,466,0.15,2.19,0.62,40.0128,-105.47,,,,
13MB122,4/6/2013,96,Stream,NA,4.22,0.29,0.18,0.24,0.64,0.11,0.04,0.16,0.05,19.6,1.07,0.74,0.07,0.04,0.06,0.15,0.03,0.01,0.04,0.01,19.6,0.25,0.74,26.96,16.98,21.99,10.44,4.03,14.56,5.05,1.33,466,0.16,2.19,0.62,40.0128,-105.47,,,,
13MB097,4/10/2013,100,Stream,NA,3.88,0.27,0.18,0.21,0.7,0.11,0.03,0.18,0.05,22.91,1.04,0.77,0.07,0.05,0.06,0.18,0.03,0.01,0.05,0.01,22.91,0.27,0.77,25.94,16.83,20.52,10.47,3.33,17.75,5.16,1.31,466,0.16,1.89,0.64,40.0128,-105.47,,,,
13MB098,4/10/2013,100,Stream,NA,3.76,0.27,0.17,0.22,0.68,0.1,0.04,0.18,0.04,21.7,1.02,0.82,0.07,0.05,0.06,0.18,0.03,0.01,0.05,0.01,21.7,0.27,0.82,26.61,16.7,21.18,9.7,4.11,17.76,3.94,1.31,462,0.15,1.93,0.62,40.0128,-105.47,,,,
13MB100,4/11/2013,101,Stream,NA,4.03,0.28,0.18,0.21,0.7,0.11,0.04,0.18,0.03,20.79,1.05,0.84,0.07,0.04,0.05,0.17,0.03,0.01,0.05,0.01,20.79,0.26,0.84,26.95,17.35,20.41,10.33,4.18,17.47,3.31,1.31,468,0.15,1.99,0.62,40.0128,-105.47,,,,
13MB102,4/11/2013,101,Stream,NA,3.87,0.28,0.18,0.21,0.69,0.1,0.04,0.18,0.03,20.32,1.02,0.85,0.07,0.05,0.06,0.18,0.03,0.01,0.05,0.01,20.32,0.26,0.85,27.06,17.39,20.91,10.03,4.29,17.34,2.98,1.31,466,0.15,2,0.62,40.0128,-105.47,,,,
13MB110,4/12/2013,102,Stream,NA,3.91,0.27,0.17,0.21,0.7,0.11,0.04,0.18,0.04,21.48,1.02,0.8,0.07,0.04,0.05,0.18,0.03,0.01,0.04,0.01,21.48,0.26,0.8,26.51,17.17,20.45,10.83,3.57,17.19,4.29,1.3,468,0.15,1.89,0.63,40.0128,-105.47,,,,
13MB114,4/12/2013,102,Stream,NA,3.76,0.26,0.16,0.18,0.71,0.1,0.09,0.18,0.03,20.72,1,0.87,0.07,0.04,0.05,0.19,0.03,0.02,0.05,0.01,20.72,0.27,0.87,25.8,15.76,18.47,9.95,9.29,18.09,2.63,1.31,464,0.15,1.92,0.65,40.0128,-105.47,,,,
13MB139,4/20/2013,110,Stream,NA,3.82,0.28,0.19,0.24,0.65,0.11,0.05,0.15,0.08,21.18,1.1,0.65,0.07,0.05,0.06,0.17,0.03,0.01,0.04,0.02,21.18,0.29,0.65,25.74,17.02,21.62,10.19,4.26,13.87,7.31,1.36,464,0.15,2.1,0.63,40.0128,-105.47,,,,
13MB140,4/20/2013,110,Stream,NA,3.6,0.28,0.19,0.24,0.67,0.11,0.05,0.14,0.06,19.49,1.07,0.69,0.08,0.05,0.07,0.18,0.03,0.01,0.04,0.02,19.49,0.3,0.69,26.36,17.51,22.06,10.27,4.32,13.53,5.96,1.33,466,0.14,2.08,0.62,40.0128,-105.47,,,,
13MB148,4/22/2013,112,Stream,NA,4.61,0.29,0.19,0.25,0.62,0.11,0.05,0.15,0.06,18.75,1.08,0.72,0.06,0.04,0.05,0.13,0.02,0.01,0.03,0.01,18.75,0.23,0.72,26.7,17.1,23.02,9.91,4.52,13.43,5.32,1.33,468,0.14,2.28,0.61,40.0128,-105.47,,,,
13MB149,4/22/2013,112,Stream,NA,4.5,0.29,0.19,0.25,0.61,0.11,0.05,0.14,0.06,17.84,1.08,0.71,0.07,0.04,0.06,0.14,0.02,0.01,0.03,0.01,17.84,0.24,0.71,27.27,17.25,23.03,10,4.61,12.73,5.11,1.33,464,0.14,2.36,0.62,40.0128,-105.47,,,,
13MB073,4/24/2013,114,Stream,NA,4.55,0.29,0.19,0.22,0.69,0.12,0.05,0.13,0.04,16.15,1.04,0.75,0.06,0.04,0.05,0.15,0.03,0.01,0.03,0.01,16.15,0.23,0.75,28.1,18.48,20.92,11.58,4.78,12.09,4.06,1.34,468,0.14,2.4,0.63,40.0128,-105.47,,,,
13MB079,4/24/2013,114,Stream,NA,4.38,0.27,0.18,0.19,0.73,0.1,0.05,0.13,0.03,17.19,0.96,0.79,0.06,0.04,0.04,0.17,0.02,0.01,0.03,0.01,17.19,0.22,0.79,28.37,18.7,20.27,10.76,4.71,13.6,3.59,1.34,466,0.14,2.21,0.61,40.0128,-105.47,,,,
13MB093,4/28/2013,118,Stream,NA,7.62,0.3,0.18,0.3,0.53,0.1,0.08,0.14,0.03,15.3,1.14,0.81,0.04,0.02,0.04,0.07,0.01,0.01,0.02,0,15.3,0.15,0.81,26.58,15.85,26.52,8.95,6.81,12.35,2.94,1.29,466,0.15,2.75,0.57,40.0128,-105.47,,,,
13MB096,4/28/2013,118,Stream,NA,7.36,0.3,0.19,0.31,0.53,0.1,0.07,0.14,0.03,15.25,1.15,0.81,0.04,0.03,0.04,0.07,0.01,0.01,0.02,0,15.25,0.16,0.81,26.52,16.36,26.61,9.05,6.21,12.28,2.97,1.31,470,0.15,2.73,0.57,40.0128,-105.47,,,,
13MB015,4/29/2013,119,Stream,NA,6.84,0.27,0.18,0.24,0.65,0.1,0.05,0.14,0.01,15.36,1,0.92,0.04,0.03,0.03,0.09,0.01,0.01,0.02,0,15.36,0.15,0.92,27.42,18.15,23.79,9.84,5.44,14.2,1.15,1.32,468,0.15,2.52,0.58,40.0128,-105.47,,,,
13MB016,4/29/2013,119,Stream,NA,7.32,0.28,0.18,0.23,0.64,0.1,0.05,0.12,0.01,13.79,0.96,0.94,0.04,0.02,0.03,0.09,0.01,0.01,0.02,0,13.79,0.13,0.94,28.57,18.5,23.75,10.36,5.04,12.96,0.83,1.3,464,0.13,2.57,0.58,40.0128,-105.47,,,,
13MB022,4/30/2013,120,Stream,NA,7.62,0.25,0.15,0.18,0.67,0.08,0.16,0.15,0,15.34,0.97,1,0.03,0.02,0.02,0.09,0.01,0.02,0.02,0,15.34,0.13,1,25.52,15.74,18.98,8.03,16.38,15.34,0,1.32,466,0.14,2.43,0.6,40.0128,-105.47,,,,
13MB023,4/30/2013,120,Stream,NA,7.61,0.28,0.18,0.24,0.63,0.1,0.06,0.13,0.02,15.44,1.02,0.84,0.04,0.02,0.03,0.08,0.01,0.01,0.02,0,15.44,0.13,0.84,27.51,17.88,23.35,9.93,5.89,13.01,2.44,1.31,468,0.15,2.52,0.57,40.0128,-105.47,,,,
13MB028,5/3/2013,123,Stream,NA,6.77,0.28,0.18,0.23,0.65,0.11,0.05,0.12,0.02,14.86,1.01,0.83,0.04,0.03,0.03,0.1,0.02,0.01,0.02,0,14.86,0.15,0.83,27.91,18.16,23.01,10.7,5.35,12.39,2.47,1.32,466,0.14,2.49,0.59,40.0128,-105.47,,,,
13MB075,5/3/2013,123,Stream,NA,6.78,0.29,0.19,0.25,0.63,0.11,0.06,0.12,0.04,14.9,1.05,0.76,0.04,0.03,0.04,0.09,0.02,0.01,0.02,0.01,14.9,0.15,0.76,27.39,17.97,23.63,10.54,5.56,11.38,3.52,1.32,468,0.15,2.64,0.59,40.0128,-105.47,,,,
13MB070,5/4/2013,124,Stream,NA,6.38,0.28,0.18,0.24,0.66,0.1,0.06,0.11,0.03,13.59,1,0.79,0.04,0.03,0.04,0.1,0.02,0.01,0.02,0,13.59,0.16,0.79,27.69,18.1,24.21,10.31,6.11,10.77,2.81,1.32,464,0.16,2.61,0.59,40.0128,-105.47,,,,
13MB078,5/4/2013,124,Stream,NA,7.03,0.29,0.19,0.26,0.61,0.11,0.06,0.11,0.02,13.02,1.03,0.84,0.04,0.03,0.04,0.09,0.01,0.01,0.02,0,13.02,0.15,0.84,27.98,18.09,25.03,10.23,5.65,10.89,2.13,1.33,466,0.15,2.79,0.57,40.0128,-105.47,,,,
13MB043,5/5/2013,125,Stream,NA,6.59,0.28,0.19,0.26,0.62,0.11,0.06,0.13,0.02,14.52,1.05,0.84,0.04,0.03,0.04,0.09,0.02,0.01,0.02,0,14.52,0.16,0.84,26.9,18.06,24.65,10.6,5.27,12.23,2.29,1.33,464,0.15,2.64,0.58,40.0128,-105.47,,,,
13MB044,5/5/2013,125,Stream,NA,6.7,0.29,0.19,0.25,0.62,0.11,0.05,0.11,0.02,13.22,1.02,0.83,0.04,0.03,0.04,0.09,0.02,0.01,0.02,0,13.22,0.15,0.83,28.21,18.44,24.36,11.22,4.54,11.04,2.19,1.34,466,0.16,2.68,0.59,40.0128,-105.47,,,,
13MB038,5/6/2013,126,Stream,NA,7.09,0.3,0.19,0.26,0.59,0.12,0.05,0.13,0.03,14.48,1.08,0.83,0.04,0.03,0.04,0.08,0.02,0.01,0.02,0,14.48,0.15,0.83,27.85,18.02,24.14,10.8,4.71,11.97,2.51,1.32,468,0.15,2.76,0.57,40.0128,-105.47,,,,
13MB039,5/6/2013,126,Stream,NA,6.89,0.29,0.19,0.25,0.61,0.11,0.05,0.11,0.03,13.62,1.03,0.81,0.04,0.03,0.04,0.09,0.02,0.01,0.02,0,13.62,0.15,0.81,28.22,18.11,24.33,10.88,4.83,11.07,2.55,1.33,468,0.15,2.68,0.58,40.0128,-105.47,,,,
13MB031,5/7/2013,127,Stream,NA,6.95,0.3,0.19,0.28,0.57,0.11,0.06,0.12,0.02,13.26,1.08,0.83,0.04,0.03,0.04,0.08,0.02,0.01,0.02,0,13.26,0.16,0.83,27.6,17.56,25.45,10.24,5.88,11.07,2.19,1.33,466,0.15,2.91,0.57,40.0128,-105.47,,,,
13MB036,5/7/2013,127,Stream,NA,6.59,0.29,0.18,0.27,0.57,0.11,0.05,0.11,0.02,12.92,1.04,0.82,0.04,0.03,0.04,0.09,0.02,0.01,0.02,0,12.92,0.16,0.82,27.89,17.65,26.03,10.32,5.19,10.6,2.32,1.33,468,0.14,2.87,0.57,40.0128,-105.47,,,,
13MB055,5/8/2013,128,Stream,NA,6.4,0.3,0.2,0.25,0.63,0.12,0.05,0.11,0.02,12.41,1.05,0.83,0.05,0.03,0.04,0.1,0.02,0.01,0.02,0,12.41,0.16,0.83,28.88,18.97,23.72,11.15,4.87,10.36,2.06,1.34,466,0.15,2.83,0.58,40.0128,-105.47,,,,
13MB057,5/8/2013,128,Stream,NA,6.86,0.31,0.2,0.27,0.57,0.12,0.05,0.1,0.02,11.47,1.07,0.81,0.05,0.03,0.04,0.08,0.02,0.01,0.01,0,11.47,0.16,0.81,29.29,18.54,24.87,10.93,4.9,9.33,2.14,1.34,466,0.12,3.05,0.57,40.0128,-105.47,,,,
13MB045,5/9/2013,129,Stream,NA,7.14,0.31,0.2,0.3,0.52,0.11,0.07,0.11,0.02,12.01,1.13,0.85,0.04,0.03,0.04,0.07,0.02,0.01,0.02,0,12.01,0.16,0.85,27.76,17.83,26.43,9.72,6.25,10.2,1.81,1.33,466,0.16,3.16,0.55,40.0128,-105.47,,,,
13MB154,5/10/2013,130,Stream,NA,8.44,0.33,0.21,0.36,0.42,0.12,0.07,0.11,0.04,12.32,1.25,0.72,0.04,0.02,0.04,0.05,0.01,0.01,0.01,0.01,12.32,0.15,0.72,26.77,16.6,29.07,9.27,5.96,8.86,3.47,1.34,464,0.16,3.62,0.56,40.0128,-105.47,,,,
13MB155,5/10/2013,130,Stream,NA,8.53,0.32,0.2,0.34,0.44,0.11,0.1,0.11,0.03,11.86,1.22,0.79,0.04,0.02,0.04,0.05,0.01,0.01,0.01,0,11.86,0.14,0.79,26.6,16.14,28.11,8.92,8.36,9.34,2.52,1.35,468,0.14,3.56,0.57,40.0128,-105.47,,,,
13MB162,5/12/2013,132,Stream,NA,8.11,0.3,0.19,0.25,0.59,0.13,0.05,0.1,0.12,19.47,1.16,0.45,0.04,0.02,0.03,0.07,0.02,0.01,0.01,0.02,19.47,0.14,0.45,26.32,16.52,21.98,11.11,4.59,8.85,10.62,1.34,466,0.15,2.84,0.64,40.0128,-105.47,,,,
13MB163,5/12/2013,132,Stream,NA,8.3,0.33,0.2,0.35,0.44,0.11,0.07,0.12,0.04,13.14,1.22,0.74,0.04,0.02,0.04,0.05,0.01,0.01,0.01,0,13.14,0.15,0.74,26.73,16.57,28.31,9.26,5.98,9.78,3.37,1.34,468,0.15,3.42,0.57,40.0128,-105.47,,,,
13MB172,5/16/2013,136,Stream,NA,7.08,0.33,0.21,0.36,0.41,0.12,0.08,0.1,0.03,10.62,1.23,0.77,0.05,0.03,0.05,0.06,0.02,0.01,0.01,0,10.62,0.17,0.77,27,16.67,29.33,9.67,6.72,8.23,2.39,1.35,466,0.15,3.85,0.57,40.0128,-105.47,,,,
13MB173,5/16/2013,136,Stream,NA,7.24,0.34,0.21,0.37,0.42,0.12,0.07,0.1,0.03,10.53,1.24,0.74,0.05,0.03,0.05,0.06,0.02,0.01,0.01,0,10.53,0.17,0.74,27.42,16.95,29.41,9.84,5.84,7.83,2.7,1.35,468,0.15,3.86,0.57,40.0128,-105.47,,,,
13MB175,5/19/2013,139,Stream,NA,6.32,0.34,0.21,0.36,0.44,0.11,0.08,0.1,0.04,11.31,1.24,0.74,0.05,0.03,0.06,0.07,0.02,0.01,0.02,0.01,11.31,0.2,0.74,27.44,16.76,28.72,9.03,6.75,8.38,2.93,1.35,466,0.15,3.61,0.56,40.0128,-105.47,,,,
13MB176,5/19/2013,139,Stream,NA,6.42,0.34,0.21,0.36,0.43,0.12,0.08,0.1,0.04,11.21,1.25,0.74,0.05,0.03,0.06,0.07,0.02,0.01,0.02,0.01,11.21,0.19,0.74,27.3,16.66,29.15,9.4,6.28,8.33,2.88,1.34,468,0.16,3.81,0.57,40.0128,-105.47,,,,
