Altitude min,Altitude max,Area,Specific winter,Specific summer 
(masl),(masl),(km2),balance (m w.e.),balance (m w.e.)
1850,1865,0.09,2.7,-1.45
1800,1850,3.93,3.45,-1.5
1750,1800,4.03,3.6,-1.6
1700,1750,3.46,3.5,-1.75
1650,1700,1.94,3.2,-1.9
1600,1650,0.75,2.7,-2.1
1550,1600,0.59,2.35,-2.3
1500,1550,0.57,1.95,-2.5
1450,1500,0.29,1.73,-2.7
1400,1450,0.19,1.56,-2.95
1350,1400,0.1,1.39,-3.2
1300,1350,0.1,1.22,-3.45
1250,1300,0.27,1.05,-3.7
1200,1250,0.36,0.8,-3.95
1150,1200,0.28,0.55,-4.25
1100,1150,0.11,0.3,-4.55
1020,1100,0.05,-0.05,-4.9